Date_of_death,DeathCount,,,,,
3/15/20,1,,,,,
3/16/20,1,,,,,
3/17/20,2,,,,,
3/18/20,1,,,,,
3/20/20,4,,,,,
3/21/20,5,,,,,
3/22/20,5,,,,,
3/23/20,5,,,,,
3/24/20,5,,,,,
3/25/20,6,,,,,
3/26/20,9,,,,,
3/27/20,3,,,,,
3/28/20,10,,,,,
3/29/20,18,,,,,
3/30/20,15,,,,,
3/31/20,21,,,,,
4/1/20,22,,,,,
4/2/20,18,,,,,
4/3/20,30,,,,,
4/4/20,24,,,,,
4/5/20,34,,,,,
4/6/20,24,,,,,
4/7/20,32,,,,,
4/8/20,26,,,,,
4/9/20,33,,,,,
4/10/20,23,,,,,
4/11/20,18,,,,,
4/12/20,20,,,,,
4/13/20,28,,,,,
4/14/20,30,,,,,
4/15/20,4,,,,,
