Date,Region,Beds COVID Patients,Beds COVID PUI,Beds COVID Total,ICU Beds COVID Patients,ICU Beds COVID PUI,ICU Beds COVID Total,Ventilators COVID Patients,Ventilators COVID PUI,Ventilators COVID Total,ICU/Hospitalization Percentage,Ventilator/ICU Percentage
4/7/2020,1,99,87,186,78,27,105,,,,,
4/7/2020,2,20,54,74,11,51,62,,,,,
4/7/2020,3,36,99,135,37,42,79,,,,,
4/7/2020,4,13,24,37,6,6,12,,,,,
4/7/2020,5,455,295,750,311,117,428,,,,,
4/7/2020,6,55,89,144,29,18,47,,,,,
4/7/2020,7,10,42,52,7,4,11,,,,,
4/7/2020,8,45,35,80,20,14,34,,,,,
4/7/2020,9,70,58,128,16,16,32,,,,,
4/7/2020,10,10,53,63,8,20,28,,,,,
4/8/2020,1,98,87,185,78,27,105,,,,,
4/8/2020,2,20,49,69,17,27,44,,,,,
4/8/2020,3,45,121,166,34,44,78,,,,,
4/8/2020,4,12,31,43,7,8,15,,,,,
4/8/2020,5,454,299,753,269,119,388,,,,,
4/8/2020,6,53,81,134,32,18,50,,,,,
4/8/2020,7,11,42,53,7,7,14,,,,,
4/8/2020,8,41,37,78,17,15,32,,,,,
4/8/2020,9,64,58,122,16,23,39,,,,,
4/8/2020,10,10,55,65,10,13,23,,,,,
4/9/2020,1,131,103,234,84,32,116,63,19,82,49.6,70.7
4/9/2020,2,22,62,84,16,16,32,9,4,13,38.1,40.6
4/9/2020,3,60,139,199,39,35,74,28,21,49,37.2,66.2
4/9/2020,4,13,28,41,7,3,10,3,2,5,24.4,50
4/9/2020,5,475,271,746,318,118,436,217,37,254,58.4,58.3
4/9/2020,6,58,86,144,33,20,53,28,8,36,36.8,67.9
4/9/2020,7,13,24,37,8,7,15,6,2,8,40.5,53.3
4/9/2020,8,44,37,81,18,12,30,16,5,21,37,70
4/9/2020,9,74,61,135,30,17,47,18,7,25,34.8,53.2
4/9/2020,10,8,40,48,9,7,16,4,4,8,33.3,50
4/10/2020,1,136,88,224,80,29,109,61,15,76,48.7,69.7
